Date,weighted_positive_score,weighted_neutral_score,weighted_negative_score,total,is_missing_value,Open,High,Low,Close,Adj Close,Volume,market_value
2021-05-23,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2298.3671875,2384.41162109375,1737.46875,2109.579833984375,2109.579833984375,56005721977,2203.9735107421875
2021-05-24,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2099.93603515625,2672.595703125,2090.6396484375,2643.591064453125,2643.591064453125,53697121740,2371.7635498046875
2021-05-25,0.1955965110252631,0.5398821570479716,0.2645213319267653,13602850.0,0,2649.033203125,2750.534912109375,2394.35546875,2706.62890625,2706.62890625,49558333256,2677.8310546875
2021-05-26,0.2688045877619943,0.5486594774968855,0.1825359347411202,25282567.0,0,2707.052734375,2911.735595703125,2652.094482421875,2888.69873046875,2888.69873046875,42499766020,2797.875732421875
2021-05-27,0.2290193126173395,0.5293809617529508,0.2415997256297096,17488774.0,0,2888.75244140625,2888.75244140625,2642.60791015625,2736.488525390625,2736.488525390625,33373635283,2812.6204833984375
2021-05-28,0.2034518460519341,0.5701305164562351,0.2264176374918308,19119045.0,0,2742.468994140625,2761.36328125,2336.361328125,2419.90625,2419.90625,39999114805,2581.1876220703125
2021-05-29,0.2007166856160488,0.5831693689468471,0.2161139454371039,15364617.0,0,2414.067138671875,2566.9384765625,2208.490966796875,2279.51416015625,2279.51416015625,33773720220,2346.7906494140625
2021-05-30,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2278.288818359375,2472.187744140625,2188.83447265625,2390.305419921875,2390.305419921875,25876619428,2334.297119140625
2021-05-31,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2387.198486328125,2715.85498046875,2279.505126953125,2714.9453125,2714.9453125,31007383150,2551.0718994140625
2021-06-01,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2707.560546875,2739.737548828125,2531.16064453125,2633.518310546875,2633.518310546875,27363223090,2670.5394287109375
2021-06-02,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2634.4560546875,2801.392333984375,2555.4013671875,2706.125,2706.125,27723267359,2670.29052734375
2021-06-03,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2708.376220703125,2891.2548828125,2667.684326171875,2855.12646484375,2855.12646484375,30038207402,2781.7513427734375
2021-06-04,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2857.16552734375,2857.16552734375,2562.637451171875,2688.195068359375,2688.195068359375,34173841611,2772.6802978515625
2021-06-05,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2691.619384765625,2817.48486328125,2558.233642578125,2630.576904296875,2630.576904296875,30496672724,2661.09814453125
2021-06-06,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2629.748779296875,2743.441162109375,2616.162353515625,2715.0927734375,2715.0927734375,25311639414,2672.4207763671875
2021-06-07,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2713.04736328125,2845.18505859375,2583.9951171875,2590.26318359375,2590.26318359375,30600111277,2651.6552734375
2021-06-08,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2594.602294921875,2620.84619140625,2315.546630859375,2517.438720703125,2517.438720703125,41909736778,2556.0205078125
2021-06-09,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2510.19921875,2625.070556640625,2412.19775390625,2608.26708984375,2608.26708984375,36075832186,2559.233154296875
