BTC,BNB,ETH,Date
38397.5703125,350.2572021484375,2596.74609375,2021-05-28
36071.45703125,338.89361572265625,2396.69775390625,2021-05-29
34247.5234375,300.48907470703125,2337.165283203125,2021-05-30
35222.421875,339.3822021484375,2460.378662109375,2021-05-31
37176.8359375,349.2003479003906,2674.842041015625,2021-06-01
36803.37890625,379.5870056152344,2697.475341796875,2021-06-02
37698.06640625,425.1823120117188,2721.9072265625,2021-06-03
39132.69921875,418.1399536132813,2797.260986328125,2021-06-04
37601.2109375,408.551513671875,2702.475830078125,2021-06-05
35468.63671875,390.7550048828125,2646.697998046875,2021-06-06
35544.6875,375.6282958984375,2681.513671875,2021-06-07
33860.578125,361.7341003417969,2603.027587890625,2021-06-08
33070.7421875,352.4696655273437,2562.7451171875,2021-06-09
36903.4765625,360.2356872558594,2584.4794921875,2021-06-10
37233.75,356.5113220214844,2447.35400390625,2021-06-11
37567.25,344.95123291015625,2389.01025390625,2021-06-12
35886.26171875,346.8679504394531,2402.317626953125,2021-06-13
38613.7421875,372.0442810058594,2530.364990234375,2021-06-14
40341.140625,408.31634521484375,2547.130615234375,2021-06-15
40771.75,372.1148681640625,2631.2919921875,2021-06-16
38830.7578125,361.3362426757813,2383.0263671875,2021-06-17
37683.609375,354.8377685546875,2288.095947265625,2021-06-18
36017.421875,335.1673583984375,2207.534912109375,2021-06-19
35359.5234375,341.1184997558594,2256.815673828125,2021-06-20
35603.703125,335.47222900390625,2201.67529296875,2021-06-21
32266.125,273.5760192871094,1893.5028076171875,2021-06-22
32025.30078125,257.1728820800781,1846.1287841796875,2021-06-23
33361.890625,307.8528137207031,2055.377197265625,2021-06-24
34423.9765625,295.0738525390625,1918.8763427734373,2021-06-25
32527.310546875,290.52862548828125,1827.3409423828125,2021-06-26
31829.73046875,284.068359375,1863.8558349609373,2021-06-27
34374.73046875,285.880126953125,2016.944580078125,2021-06-28
34446.63671875,288.4054870605469,2103.71533203125,2021-06-29
35762.07421875,303.34930419921875,2168.570556640625,2021-06-30
35336.51953125,305.2801513671875,2223.930908203125,2021-07-01
33814.28125,297.8323974609375,2130.766845703125,2021-07-02
33640.15234375,282.62432861328125,2194.353271484375,2021-07-03
34478.69921875,295.7640991210937,2234.507080078125,2021-07-04
35394.4296875,305.9361572265625,2304.61474609375,2021-07-05
33961.69921875,307.71075439453125,2272.00830078125,2021-07-06
34151.546875,318.9556884765625,2331.713623046875,2021-07-07
33867.75,325.7779235839844,2301.2109375,2021-07-08
32992.91796875,317.49200439453125,2148.06689453125,2021-07-09
33562.375,314.048095703125,2179.994384765625,2021-07-10
33615.31640625,302.7705078125,2112.120361328125,2021-07-11
34199.37890625,317.7384033203125,2140.029052734375,2021-07-12
33457.55078125,315.7315979003906,2015.3543701171875,2021-07-13
32638.51171875,318.3664245605469,1956.2957763671875,2021-07-14
32922.69921875,316.2939147949219,1963.9345703125,2021-07-15
31860.232421875,308.6999206542969,1930.8590087890625,2021-07-16
31436.462890625,306.8687744140625,1917.0611572265625,2021-07-17
31399.990234375,312.62725830078125,1884.0196533203125,2021-07-18
31803.2734375,296.1298217773437,1882.513671875,2021-07-19
30935.12109375,285.4570617675781,1822.929443359375,2021-07-20
29871.89453125,289.6822509765625,1796.15380859375,2021-07-21
31912.033203125,299.7286071777344,1961.4337158203125,2021-07-22
32291.791015625,298.4273986816406,2064.17578125,2021-07-23
33583.01171875,292.7045288085937,2189.7255859375,2021-07-24
34244.80078125,310.51141357421875,2172.4970703125,2021-07-25
35455.390625,303.49658203125,2235.282958984375,2021-07-26
37391.390625,308.6969299316406,2255.576171875,2021-07-27
39305.6328125,313.68035888671875,2327.9208984375,2021-07-28
40528.89453125,316.6302490234375,2333.731689453125,2021-07-29
40027.20703125,319.467529296875,2413.29541015625,2021-07-30
42292.23046875,323.54754638671875,2503.0673828125,2021-07-31
41741.578125,335.99102783203125,2552.16162109375,2021-08-01
40382.4140625,341.52056884765625,2594.127197265625,2021-08-02
39267.7265625,330.4299011230469,2638.379150390625,2021-08-03
38195.83984375,323.466796875,2533.577880859375,2021-08-04
39492.2734375,330.7652587890625,2713.6611328125,2021-08-05
40865.2734375,333.18524169921875,2893.977294921875,2021-08-06
42775.01953125,337.1204833984375,2911.9033203125,2021-08-07
44901.08203125,356.7650146484375,3021.173828125,2021-08-08
44072.359375,359.77996826171875,3128.073486328125,2021-08-09
46458.14453125,359.436767578125,3230.653564453125,2021-08-10
45826.12890625,368.83111572265625,3080.06884765625,2021-08-11
45623.1015625,388.7688293457031,3155.558837890625,2021-08-12
44602.7578125,404.1873168945313,3033.038818359375,2021-08-13
47482.9765625,420.9736022949219,3333.274169921875,2021-08-14
47363.21875,405.558837890625,3330.47021484375,2021-08-15
47204.5625,402.9506530761719,3417.92919921875,2021-08-16
46190.79296875,419.3033142089844,3124.8525390625,2021-08-17
44724.3984375,408.358154296875,3052.3857421875,2021-08-18
44599.1953125,411.0950317382813,3025.89013671875,2021-08-19
46429.53125,420.8985595703125,3178.306640625,2021-08-20
49286.40234375,468.2529602050781,3381.252197265625,2021-08-21
49111.7734375,459.55419921875,3281.26416015625,2021-08-22
49437.69140625,481.2462463378906,3218.478759765625,2021-08-23
49796.73828125,485.8275146484375,3304.9921875,2021-08-24
47682.01953125,506.0487365722656,3206.9306640625,2021-08-25
48872.16015625,491.4859008789063,3276.77783203125,2021-08-26
47240.9765625,479.8316955566406,3125.1044921875,2021-08-27
48860.16796875,484.4875793457031,3168.762451171875,2021-08-28
48982.42578125,479.4695129394531,3236.093017578125,2021-08-29
48918.16015625,484.89111328125,3243.1884765625,2021-08-30
47421.97265625,460.0146179199219,3228.867919921875,2021-08-31
47057.1484375,466.2838134765625,3530.214111328125,2021-09-01
48724.99609375,480.7054443359375,3837.719482421875,2021-09-02
