BTC,BNB,ETH,Date
55253.59765625,545.7987670898438,2213.678466796875,2021-04-20
55271.46484375,571.788330078125,2403.803955078125,2021-04-21
53933.69140625,543.9750366210938,2408.118408203125,2021-04-22
51579.85546875,548.478271484375,2440.69580078125,2021-04-23
50557.6171875,505.3267211914063,2327.99462890625,2021-04-24
49754.24609375,530.2830810546875,2237.183349609375,2021-04-25
49845.82421875,509.6946105957031,2333.51513671875,2021-04-26
54304.328125,548.3184204101562,2584.95703125,2021-04-27
56157.2265625,595.6051025390625,2682.298583984375,2021-04-28
55073.95703125,596.6720581054688,2765.054931640625,2021-04-29
53956.80859375,630.46435546875,2741.555908203125,2021-04-30
57982.125,634.967041015625,2758.760498046875,2021-05-01
58475.1484375,641.5772705078125,2967.79833984375,2021-05-02
56999.81640625,655.125244140625,3002.635498046875,2021-05-03
57454.56640625,660.6947021484375,3304.307861328125,2021-05-04
54473.43359375,634.8260498046875,3575.94140625,2021-05-05
57507.25390625,644.6720581054688,3469.7509765625,2021-05-06
56592.08203125,617.5740356445312,3481.16015625,2021-05-07
56900.68359375,647.7446899414062,3567.6767578125,2021-05-08
58955.4453125,657.9141235351562,3948.77880859375,2021-05-09
58514.47265625,684.2765502929688,4067.65283203125,2021-05-10
56454.328125,654.4420776367188,4032.73681640625,2021-05-11
55698.28125,646.4351196289062,4135.65185546875,2021-05-12
50013.1015625,577.5154418945312,3888.00537109375,2021-05-13
49616.40625,573.5025634765625,3777.803955078125,2021-05-14
48839.91796875,571.2075805664062,3923.140869140625,2021-05-15
47952.4140625,562.0761108398438,3713.918701171875,2021-05-16
45718.4921875,556.5674438476562,3617.879638671875,2021-05-17
43918.41796875,511.0983581542969,3212.05419921875,2021-05-18
42668.31640625,458.95068359375,3143.176025390625,2021-05-19
38299.5859375,390.864990234375,2633.107666015625,2021-05-20
39116.34765625,363.3755493164063,2641.272705078125,2021-05-21
37367.875,304.3646850585937,2340.508544921875,2021-05-22
36009.50390625,268.1759338378906,2190.61083984375,2021-05-23
37313.6640625,282.1311340332031,2171.134033203125,2021-05-24
37844.765625,349.5289001464844,2438.92529296875,2021-05-25
38689.484375,382.79931640625,2830.828857421875,2021-05-26
38557.28125,370.7661437988281,2815.978271484375,2021-05-27
37802.77734375,348.6618957519531,2566.784912109375,2021-05-28
36105.77734375,334.8424987792969,2457.485107421875,2021-05-29
34338.27734375,317.02593994140625,2260.567626953125,2021-05-30
35498.578125,352.1497802734375,2481.467041015625,2021-05-31
36655.98046875,359.422607421875,2653.59033203125,2021-06-01
37038.98046875,383.9621887207031,2608.106201171875,2021-06-02
37610.4765625,413.806884765625,2721.861572265625,2021-06-03
39123.640625,415.1273193359375,2794.78076171875,2021-06-04
37296.328125,397.4434509277344,2709.73046875,2021-06-05
35748.390625,395.1940002441406,2668.4365234375,2021-06-06
35328.73046875,383.9927062988281,2678.1953125,2021-06-07
33509.03515625,354.9046630859375,2542.75634765625,2021-06-08
33158.08984375,342.8883361816406,2572.421630859375,2021-06-09
36912.7109375,369.70989990234375,2593.43359375,2021-06-10
